Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
RIVER PLACE,"1,960,000","1,302.44","1,505",Nov-21,HAVELOCK ROAD,Resale,Strata,121,"16,198",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,01 to 05
COMMONWEALTH TOWERS,"935,000",473.62,"1,974",Oct-21,COMMONWEALTH AVENUE,Resale,Strata,44,"21,250",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,41 to 45
PRINCIPAL GARDEN,"905,000",495.14,"1,828",Oct-21,PRINCE CHARLES CRESCENT,Resale,Strata,46,"19,674",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,21 to 25
RIVER PLACE,"1,250,000",818.06,"1,528",Oct-21,HAVELOCK ROAD,Resale,Strata,76,"16,447",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,01 to 05
ECHELON,"1,450,000",731.95,"1,981",Oct-21,ALEXANDRA VIEW,Resale,Strata,68,"21,324",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,16 to 20
COMMONWEALTH TOWERS,"898,000",462.85,"1,940",Oct-21,COMMONWEALTH AVENUE,Resale,Strata,43,"20,884",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,26 to 30
ECHELON,"2,508,000","1,474.67","1,701",Oct-21,ALEXANDRA VIEW,Resale,Strata,137,"18,307",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,11 to 15
ECHELON,"1,750,000","1,001.05","1,748",Oct-21,ALEXANDRA VIEW,Resale,Strata,93,"18,817",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,06 to 10
THE METROPOLITAN CONDOMINIUM,"2,188,888","1,399.32","1,564",Oct-21,ALEXANDRA VIEW,Resale,Strata,130,"16,838",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,31 to 35
PRINCIPAL GARDEN,"1,610,000",861.12,"1,870",Oct-21,PRINCE CHARLES CRESCENT,Resale,Strata,80,"20,125",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,06 to 10
MERAPRIME,"1,738,000","1,097.93","1,583",Oct-21,JALAN BUKIT HO SWEE,Resale,Strata,102,"17,039",-,Condominium,1,99 yrs lease commencing from 2003,03,Rest of Central Region,11 to 15
PRINCIPAL GARDEN,"1,600,000",785.77,"2,036",Oct-21,PRINCE CHARLES CRESCENT,Resale,Strata,73,"21,918",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,21 to 25
COMMONWEALTH TOWERS,"881,888",441.32,"1,998",Oct-21,COMMONWEALTH AVENUE,Resale,Strata,41,"21,509",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,26 to 30
ALEX RESIDENCES,"1,595,880",882.65,"1,808",Oct-21,ALEXANDRA VIEW,Resale,Strata,82,"19,462",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,01 to 05
QUEENS,"1,315,000",914.94,"1,437",Oct-21,STIRLING ROAD,Resale,Strata,85,"15,471",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,26 to 30
COMMONWEALTH TOWERS,"940,000",473.62,"1,985",Oct-21,COMMONWEALTH AVENUE,Resale,Strata,44,"21,364",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,41 to 45
CENTRAL GREEN CONDOMINIUM,"1,820,000","1,291.68","1,409",Oct-21,JALAN MEMBINA,Resale,Strata,120,"15,167",-,Condominium,1,99 yrs lease commencing from 1992,03,Rest of Central Region,06 to 10
QUEENS,"1,660,000","1,194.8","1,389",Oct-21,STIRLING ROAD,Resale,Strata,111,"14,955",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,11 to 15
ASCENTIA SKY,"2,158,000","1,474.67","1,463",Oct-21,ALEXANDRA VIEW,Resale,Strata,137,"15,752",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,11 to 15
ECHELON,"1,750,000","1,001.05","1,748",Oct-21,ALEXANDRA VIEW,Resale,Strata,93,"18,817",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,16 to 20
ASCENTIA SKY,"1,600,000","1,011.82","1,581",Oct-21,ALEXANDRA VIEW,Resale,Strata,94,"17,021",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,21 to 25
RIVER PLACE,"3,330,000","2,066.69","1,611",Oct-21,HAVELOCK ROAD,Resale,Strata,192,"17,344",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,01 to 05
ALESSANDREA,"1,600,000","1,001.05","1,598",Oct-21,ALEXANDRA ROAD,Resale,Strata,93,"17,204",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
HIGHLINE RESIDENCES,"1,960,000",914.94,"2,142",Oct-21,KIM TIAN ROAD,Resale,Strata,85,"23,059",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,06 to 10
COMMONWEALTH TOWERS,"910,000",462.85,"1,966",Oct-21,COMMONWEALTH AVENUE,Resale,Strata,43,"21,163",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,31 to 35
RIVER PLACE,"1,650,000","1,054.87","1,564",Oct-21,HAVELOCK ROAD,Resale,Strata,98,"16,837",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,01 to 05
COMMONWEALTH TOWERS,"920,000",484.38,"1,899",Oct-21,COMMONWEALTH AVENUE,Resale,Strata,45,"20,444",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,31 to 35
ALEXIS,"718,000",387.5,"1,853",Oct-21,ALEXANDRA ROAD,Resale,Strata,36,"19,944",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
COMMONWEALTH TOWERS,"2,580,000","1,302.44","1,981",Oct-21,COMMONWEALTH AVENUE,Resale,Strata,121,"21,322",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,31 to 35
ECHELON,"1,400,000",731.95,"1,913",Oct-21,ALEXANDRA VIEW,Resale,Strata,68,"20,588",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,11 to 15
PRINCIPAL GARDEN,"1,580,000",807.3,"1,957",Oct-21,PRINCE CHARLES CRESCENT,Resale,Strata,75,"21,067",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,11 to 15
COMMONWEALTH TOWERS,"1,430,000",753.48,"1,898",Oct-21,COMMONWEALTH AVENUE,Resale,Strata,70,"20,429",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,16 to 20
TANGLIN VIEW,"1,300,000",871.88,"1,491",Oct-21,PRINCE CHARLES CRESCENT,Resale,Strata,81,"16,049",-,Condominium,1,99 yrs lease commencing from 1997,03,Rest of Central Region,01 to 05
RIVER PLACE,"2,380,000","1,582.31","1,504",Oct-21,HAVELOCK ROAD,Resale,Strata,147,"16,190",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,01 to 05
QUEENS,"1,632,000","1,194.8","1,366",Sep-21,STIRLING ROAD,Resale,Strata,111,"14,703",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,06 to 10
COMMONWEALTH TOWERS,"2,060,000","1,076.4","1,914",Sep-21,COMMONWEALTH AVENUE,Resale,Strata,100,"20,600",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,26 to 30
COMMONWEALTH TOWERS,"1,388,000",688.9,"2,015",Sep-21,COMMONWEALTH AVENUE,Resale,Strata,64,"21,688",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,41 to 45
CENTRAL GREEN CONDOMINIUM,"1,865,000","1,291.68","1,444",Sep-21,JALAN MEMBINA,Resale,Strata,120,"15,542",-,Condominium,1,99 yrs lease commencing from 1992,03,Rest of Central Region,06 to 10
ASCENTIA SKY,"1,540,000","1,011.82","1,522",Sep-21,ALEXANDRA VIEW,Resale,Strata,94,"16,383",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,01 to 05
RIVER PLACE,"1,400,000",968.76,"1,445",Sep-21,HAVELOCK ROAD,Resale,Strata,90,"15,556",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,01 to 05
TANGLIN VIEW,"1,632,000","1,151.75","1,417",Sep-21,PRINCE CHARLES CRESCENT,Resale,Strata,107,"15,252",-,Condominium,1,99 yrs lease commencing from 1997,03,Rest of Central Region,01 to 05
COMMONWEALTH TOWERS,"870,000",462.85,"1,880",Sep-21,COMMONWEALTH AVENUE,Resale,Strata,43,"20,233",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,11 to 15
ALEXIS,"1,350,000","1,119.46","1,206",Sep-21,ALEXANDRA ROAD,Resale,Strata,104,"12,981",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
COMMONWEALTH TOWERS,"1,340,000",688.9,"1,945",Sep-21,COMMONWEALTH AVENUE,Resale,Strata,64,"20,938",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,26 to 30
QUEENSWAY TOWER,"1,838,000","1,539.25","1,194",Sep-21,QUEENSWAY,Resale,Strata,143,"12,853",-,Apartment,1,Freehold,03,Rest of Central Region,06 to 10
QUEENS,"1,300,000",914.94,"1,421",Sep-21,STIRLING ROAD,Resale,Strata,85,"15,294",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,36 to 40
HIGHLINE RESIDENCES,"2,220,000","1,205.57","1,841",Sep-21,KIM TIAN ROAD,Resale,Strata,112,"19,821",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,01 to 05
COMMONWEALTH TOWERS,"908,000",441.32,"2,057",Sep-21,COMMONWEALTH AVENUE,Resale,Strata,41,"22,146",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,36 to 40
COMMONWEALTH TOWERS,"1,408,000",753.48,"1,869",Sep-21,COMMONWEALTH AVENUE,Resale,Strata,70,"20,114",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,11 to 15
PRINCIPAL GARDEN,"885,000",484.38,"1,827",Sep-21,PRINCE CHARLES CRESCENT,Resale,Strata,45,"19,667",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,06 to 10
HIGHLINE RESIDENCES,"1,480,000",699.66,"2,115",Sep-21,KIM TIAN ROAD,Resale,Strata,65,"22,769",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,16 to 20
TANGLIN VIEW,"2,308,000","1,711.48","1,349",Sep-21,PRINCE CHARLES CRESCENT,Resale,Strata,159,"14,516",-,Condominium,1,99 yrs lease commencing from 1997,03,Rest of Central Region,16 to 20
QUEENS,"1,670,000","1,184.04","1,410",Sep-21,STIRLING ROAD,Resale,Strata,110,"15,182",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,16 to 20
PRINCIPAL GARDEN,"920,000",484.38,"1,899",Sep-21,PRINCE CHARLES CRESCENT,Resale,Strata,45,"20,444",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,21 to 25
PRINCIPAL GARDEN,"1,530,000",785.77,"1,947",Sep-21,PRINCE CHARLES CRESCENT,Resale,Strata,73,"20,959",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,11 to 15
THE REGENCY AT TIONG BAHRU,"1,918,000",925.7,"2,072",Sep-21,CHAY YAN STREET,Resale,Strata,86,"22,302",-,Condominium,1,Freehold,03,Rest of Central Region,21 to 25
COMMONWEALTH TOWERS,"1,438,000",699.66,"2,055",Sep-21,COMMONWEALTH AVENUE,Resale,Strata,65,"22,123",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,41 to 45
COMMONWEALTH TOWERS,"903,000",441.32,"2,046",Sep-21,COMMONWEALTH AVENUE,Resale,Strata,41,"22,024",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,41 to 45
QUEENS,"1,680,000","1,184.04","1,419",Sep-21,STIRLING ROAD,Resale,Strata,110,"15,273",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,31 to 35
ECHELON,"2,450,000","1,313.21","1,866",Sep-21,ALEXANDRA VIEW,Resale,Strata,122,"20,082",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,21 to 25
QUEENS,"1,605,000","1,194.8","1,343",Sep-21,STIRLING ROAD,Resale,Strata,111,"14,459",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,16 to 20
THE METROPOLITAN CONDOMINIUM,"3,000,000","1,894.46","1,584",Sep-21,ALEXANDRA VIEW,Resale,Strata,176,"17,045",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,11 to 15
RIVER PLACE,"1,150,000",785.77,"1,464",Sep-21,HAVELOCK ROAD,Resale,Strata,73,"15,753",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,01 to 05
HARVEST MANSIONS,"1,200,000",947.23,"1,267",Sep-21,HAVELOCK ROAD,Resale,Strata,88,"13,636",-,Apartment,1,99 yrs lease commencing from 1993,03,Rest of Central Region,06 to 10
QUEENS,"1,680,000","1,184.04","1,419",Sep-21,STIRLING ROAD,Resale,Strata,110,"15,273",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,21 to 25
THE METROPOLITAN CONDOMINIUM,"1,700,000","1,033.34","1,645",Sep-21,ALEXANDRA VIEW,Resale,Strata,96,"17,708",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,41 to 45
PRINCIPAL GARDEN,"895,000",495.14,"1,808",Sep-21,PRINCE CHARLES CRESCENT,Resale,Strata,46,"19,457",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,21 to 25
THE ANCHORAGE,"2,835,000","1,829.88","1,549",Sep-21,ALEXANDRA ROAD,Resale,Strata,170,"16,676",-,Condominium,1,Freehold,03,Rest of Central Region,06 to 10
COMMONWEALTH TOWERS,"795,000",473.62,"1,679",Sep-21,COMMONWEALTH AVENUE,Resale,Strata,44,"18,068",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,06 to 10
ASCENTIA SKY,"1,700,000","1,011.82","1,680",Sep-21,ALEXANDRA VIEW,Resale,Strata,94,"18,085",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,36 to 40
PRINCIPAL GARDEN,"1,410,000",764.24,"1,845",Sep-21,PRINCE CHARLES CRESCENT,Resale,Strata,71,"19,859",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,06 to 10
HARVEST MANSIONS,"1,228,000","1,022.58","1,201",Sep-21,HAVELOCK ROAD,Resale,Strata,95,"12,926",-,Apartment,1,99 yrs lease commencing from 1993,03,Rest of Central Region,06 to 10
PRINCIPAL GARDEN,"1,640,000",861.12,"1,904",Sep-21,PRINCE CHARLES CRESCENT,Resale,Strata,80,"20,500",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,11 to 15
COMMONWEALTH TOWERS,"895,000",473.62,"1,890",Sep-21,COMMONWEALTH AVENUE,Resale,Strata,44,"20,341",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,26 to 30
THE REGENCY AT TIONG BAHRU,"1,850,000",925.7,"1,998",Sep-21,CHAY YAN STREET,Resale,Strata,86,"21,512",-,Condominium,1,Freehold,03,Rest of Central Region,06 to 10
COMMONWEALTH TOWERS,"2,075,000","1,054.87","1,967",Sep-21,COMMONWEALTH AVENUE,Resale,Strata,98,"21,173",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,41 to 45
ALEXIS,"745,000",398.27,"1,871",Sep-21,ALEXANDRA ROAD,Resale,Strata,37,"20,135",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
QUEENS,"1,680,000","1,184.04","1,419",Sep-21,STIRLING ROAD,Resale,Strata,110,"15,273",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,26 to 30
PRINCIPAL GARDEN,"1,605,000",785.77,"2,043",Sep-21,PRINCE CHARLES CRESCENT,Resale,Strata,73,"21,986",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,21 to 25
QUEENSWAY TOWER,"1,960,000","1,657.66","1,182",Sep-21,QUEENSWAY,Resale,Strata,154,"12,727",-,Apartment,1,Freehold,03,Rest of Central Region,11 to 15
QUEENS,"2,070,000","1,410.08","1,468",Aug-21,STIRLING ROAD,Resale,Strata,131,"15,802",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,36 to 40
COMMONWEALTH TOWERS,"1,495,000",796.54,"1,877",Aug-21,COMMONWEALTH AVENUE,Resale,Strata,74,"20,203",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,31 to 35
ECHELON,"1,628,000",861.12,"1,891",Aug-21,ALEXANDRA VIEW,Resale,Strata,80,"20,350",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,01 to 05
ALEXIS,"1,100,000",828.83,"1,327",Aug-21,ALEXANDRA ROAD,Resale,Strata,77,"14,286",-,Apartment,1,Freehold,03,Rest of Central Region,06 to 10
THE CREST,"1,650,000",861.12,"1,916",Aug-21,PRINCE CHARLES CRESCENT,Resale,Strata,80,"20,625",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,06 to 10
PRINCIPAL GARDEN,"1,705,000",861.12,"1,980",Aug-21,PRINCE CHARLES CRESCENT,Resale,Strata,80,"21,313",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,21 to 25
ASCENTIA SKY,"2,190,000","1,474.67","1,485",Aug-21,ALEXANDRA VIEW,Resale,Strata,137,"15,985",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,16 to 20
ALEX RESIDENCES,"1,770,000",925.7,"1,912",Aug-21,ALEXANDRA VIEW,Resale,Strata,86,"20,581",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,16 to 20
TANGLIN VIEW,"1,600,000","1,140.98","1,402",Aug-21,PRINCE CHARLES CRESCENT,Resale,Strata,106,"15,094",-,Condominium,1,99 yrs lease commencing from 1997,03,Rest of Central Region,06 to 10
RIVER PLACE,"3,400,000","2,109.74","1,612",Aug-21,HAVELOCK ROAD,Resale,Strata,196,"17,347",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,01 to 05
ALEXIS,"780,000",527.44,"1,479",Aug-21,ALEXANDRA ROAD,Resale,Strata,49,"15,918",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
COMMONWEALTH TOWERS,"2,300,000","1,302.44","1,766",Aug-21,COMMONWEALTH AVENUE,Resale,Strata,121,"19,008",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,16 to 20
RIVER PLACE,"1,538,000",968.76,"1,588",Aug-21,HAVELOCK ROAD,Resale,Strata,90,"17,089",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,06 to 10
ALEXIS,"720,000",398.27,"1,808",Aug-21,ALEXANDRA ROAD,Resale,Strata,37,"19,459",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
ECHELON,"1,425,000",731.95,"1,947",Aug-21,ALEXANDRA VIEW,Resale,Strata,68,"20,956",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,16 to 20
COMMONWEALTH TOWERS,"845,000",441.32,"1,915",Aug-21,COMMONWEALTH AVENUE,Resale,Strata,41,"20,610",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,06 to 10
ECHELON,"930,000",452.09,"2,057",Aug-21,ALEXANDRA VIEW,Resale,Strata,42,"22,143",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,36 to 40
HARVEST MANSIONS,"1,100,000","1,022.58","1,076",Aug-21,HAVELOCK ROAD,Resale,Strata,95,"11,579",-,Apartment,1,99 yrs lease commencing from 1993,03,Rest of Central Region,01 to 05
HARVEST MANSIONS,"1,220,000","1,022.58","1,193",Aug-21,HAVELOCK ROAD,Resale,Strata,95,"12,842",-,Apartment,1,99 yrs lease commencing from 1993,03,Rest of Central Region,06 to 10
QUEENS,"1,648,800","1,184.04","1,393",Aug-21,STIRLING ROAD,Resale,Strata,110,"14,989",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,11 to 15
COMMONWEALTH TOWERS,"1,900,000","1,033.34","1,839",Aug-21,COMMONWEALTH AVENUE,Resale,Strata,96,"19,792",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,01 to 05
COMMONWEALTH TOWERS,"850,000",452.09,"1,880",Aug-21,COMMONWEALTH AVENUE,Resale,Strata,42,"20,238",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,11 to 15
QUEENS,"1,420,000","1,227.1","1,157",Aug-21,STIRLING ROAD,Resale,Strata,114,"12,456",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,01 to 05
ALEX RESIDENCES,"920,000",473.62,"1,943",Aug-21,ALEXANDRA VIEW,Resale,Strata,44,"20,909",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,26 to 30
ASCENTIA SKY,"2,500,000","1,851.41","1,350",Aug-21,ALEXANDRA VIEW,Resale,Strata,172,"14,535",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,06 to 10
QUEENS,"1,450,000","1,227.1","1,182",Aug-21,STIRLING ROAD,Resale,Strata,114,"12,719",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,01 to 05
HIGHLINE RESIDENCES,"2,400,000","1,151.75","2,084",Aug-21,KIM TIAN ROAD,Resale,Strata,107,"22,430",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,16 to 20
HARVEST MANSIONS,"1,170,000",947.23,"1,235",Aug-21,HAVELOCK ROAD,Resale,Strata,88,"13,295",-,Apartment,1,99 yrs lease commencing from 1993,03,Rest of Central Region,01 to 05
PRINCIPAL GARDEN,"903,000",495.14,"1,824",Aug-21,PRINCE CHARLES CRESCENT,Resale,Strata,46,"19,630",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,01 to 05
THE METROPOLITAN CONDOMINIUM,"1,180,000",775.01,"1,523",Aug-21,ALEXANDRA VIEW,Resale,Strata,72,"16,389",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,11 to 15
ALEX RESIDENCES,"918,000",473.62,"1,938",Aug-21,ALEXANDRA VIEW,Resale,Strata,44,"20,864",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,26 to 30
ECHELON,"1,690,000",861.12,"1,963",Aug-21,ALEXANDRA VIEW,Resale,Strata,80,"21,125",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,06 to 10
HIGHLINE RESIDENCES,"2,130,000","1,130.22","1,885",Aug-21,KIM TIAN ROAD,Resale,Strata,105,"20,286",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,01 to 05
CENTRAL GREEN CONDOMINIUM,"1,928,000","1,291.68","1,493",Aug-21,JALAN MEMBINA,Resale,Strata,120,"16,067",-,Condominium,1,99 yrs lease commencing from 1992,03,Rest of Central Region,16 to 20
RIVER PLACE,"1,068,888",785.77,"1,360",Aug-21,HAVELOCK ROAD,Resale,Strata,73,"14,642",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,01 to 05
PRINCIPAL GARDEN,"1,615,000",796.54,"2,028",Jul-21,PRINCE CHARLES CRESCENT,Resale,Strata,74,"21,824",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,21 to 25
EMERALD PARK,"1,450,000","1,130.22","1,283",Jul-21,INDUS ROAD,Resale,Strata,105,"13,810",-,Condominium,1,99 yrs lease commencing from 1991,03,Rest of Central Region,01 to 05
PRINCIPAL GARDEN,"860,000",484.38,"1,775",Jul-21,PRINCE CHARLES CRESCENT,Resale,Strata,45,"19,111",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,01 to 05
TANGLIN VIEW,"1,682,000","1,140.98","1,474",Jul-21,PRINCE CHARLES CRESCENT,Resale,Strata,106,"15,868",-,Condominium,1,99 yrs lease commencing from 1997,03,Rest of Central Region,11 to 15
TANGLIN VIEW,"1,280,000",871.88,"1,468",Jul-21,PRINCE CHARLES CRESCENT,Resale,Strata,81,"15,802",-,Condominium,1,99 yrs lease commencing from 1997,03,Rest of Central Region,11 to 15
RIVER PLACE,"3,240,000","2,066.69","1,568",Jul-21,HAVELOCK ROAD,Resale,Strata,192,"16,875",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,06 to 10
PRINCIPAL GARDEN,"890,000",484.38,"1,837",Jul-21,PRINCE CHARLES CRESCENT,Resale,Strata,45,"19,778",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,11 to 15
QUEENS,"1,680,000","1,184.04","1,419",Jul-21,STIRLING ROAD,Resale,Strata,110,"15,273",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,31 to 35
COMMONWEALTH TOWERS,"1,880,000","1,054.87","1,782",Jul-21,COMMONWEALTH AVENUE,Resale,Strata,98,"19,184",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,06 to 10
PRINCIPAL GARDEN,"1,535,000",807.3,"1,901",Jul-21,PRINCE CHARLES CRESCENT,Resale,Strata,75,"20,467",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,16 to 20
EMERALD PARK,"1,000,000",925.7,"1,080",Jul-21,INDUS ROAD,Resale,Strata,86,"11,628",-,Condominium,1,99 yrs lease commencing from 1991,03,Rest of Central Region,06 to 10
ECHELON,"2,850,000","1,571.54","1,814",Jul-21,ALEXANDRA VIEW,Resale,Strata,146,"19,521",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,31 to 35
PRINCIPAL GARDEN,"895,000",495.14,"1,808",Jul-21,PRINCE CHARLES CRESCENT,Resale,Strata,46,"19,457",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,06 to 10
COMMONWEALTH TOWERS,"870,000",441.32,"1,971",Jul-21,COMMONWEALTH AVENUE,Resale,Strata,41,"21,220",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,16 to 20
PRINCIPAL GARDEN,"1,500,000",785.77,"1,909",Jul-21,PRINCE CHARLES CRESCENT,Resale,Strata,73,"20,548",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,11 to 15
DOMAIN 21,"930,000",559.73,"1,662",Jul-21,DELTA ROAD,Resale,Strata,52,"17,885",-,Condominium,1,99 yrs lease commencing from 2004,03,Rest of Central Region,01 to 05
THE ANCHORAGE,"1,710,000","1,184.04","1,444",Jul-21,ALEXANDRA ROAD,Resale,Strata,110,"15,545",-,Condominium,1,Freehold,03,Rest of Central Region,01 to 05
ECHELON,"2,450,000","1,474.67","1,661",Jul-21,ALEXANDRA VIEW,Resale,Strata,137,"17,883",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,31 to 35
QUEENS,"2,000,000","1,410.08","1,418",Jul-21,STIRLING ROAD,Resale,Strata,131,"15,267",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,21 to 25
QUEENSWAY TOWER,"1,180,000",979.52,"1,205",Jul-21,QUEENSWAY,Resale,Strata,91,"12,967",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
ASCENTIA SKY,"2,800,000","1,851.41","1,512",Jul-21,ALEXANDRA VIEW,Resale,Strata,172,"16,279",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,26 to 30
